date_dt,mean_red,mean_nir,days
2000-06-12,0.3565695279048826,0.3352962493338479,163
2000-06-13,0.1749766249517613,0.1479565576933678,164
2000-06-14,0.4320896227281914,0.4289178565521803,165
2000-06-15,,,166
2000-06-16,0.3209700461252918,0.3045153720344744,167
2000-06-17,0.2753855229064446,0.2491109947259128,168
2000-06-18,0.370248874432622,0.3581927155116967,169
2000-06-19,0.4190154363526103,0.4185064042486723,170
2000-06-20,0.3631724277339801,0.3549033941599132,171
2000-06-21,0.286302938419979,0.2693537497473216,172
2000-06-22,0.4979669772313798,0.4942347979491703,173
2000-06-23,0.4454670231729055,0.4365726519286251,174
2000-06-24,0.2089862175423121,0.1764358564419206,175
2000-06-25,0.302379899663708,0.2901061616774169,176
2000-06-26,0.5356461273345442,0.538238624190769,177
